Section,Topic,Point,Details / Notes
3. CMS Features,Marquee/Ticker Editor,Edit scrolling announcement text per language,Instant update — no code change needed
3. CMS Features,Image Carousel Manager,Upload / reorder / caption carousel slides,Drag-and-drop reordering + image upload
3. CMS Features,CTA Section Editor,Edit CTA title / description / button text & links per language,Fully localised
3. CMS Features,Blog / News Posts,Create / edit / delete blog/news articles,Rich text editor (CKEditor 5) with image upload support
3. CMS Features,File / Image Library,Upload and manage media files,Images stored in browser — accessible for content embedding
3. CMS Features,IP Whitelist,Restrict CMS access to specific IP addresses,Optional security layer for office-only access
3. CMS Features,Data Backup & Restore,Export all CMS data as JSON / Import from JSON,One-click backup and full restore capability
3. CMS Features,Password Change,Users can change own password from profile,Admin can reset any user password
3. CMS Features,Force Password Change,Admin can require user to change password on next login,Useful for onboarding new staff securely

4. Technical Build,Architecture,100% Static HTML + CSS + Vanilla JavaScript,No backend server required — runs on any static file host
4. Technical Build,No Framework / No Build Step,Plain HTML/CSS/JS — no React / Vue / Node.js needed,Simple to maintain — no npm install or compilation
4. Technical Build,Single Page Application (SPA),Hash-based routing (#/page/slug),All pages load in index.html — fast navigation
4. Technical Build,Data Storage,Browser localStorage for CMS data,All content saved client-side — no database needed
4. Technical Build,Carousel Library,Swiper.js (bundled locally),Self-hosted library — no CDN dependency for carousel
4. Technical Build,Rich Text Editor,CKEditor 5 (loaded on demand),Loaded only when CMS is open — no performance impact on public site
4. Technical Build,Security,Content Security Policy + X-Content-Type-Options headers,OWASP-aware implementation — no inline script injection
4. Technical Build,Deployment,Any static web host (Nginx / Apache / GitHub Pages / CDN),Zero server-side maintenance
4. Technical Build,File Structure,Modular CSS (11 files) + Modular JS (5 files),Easy to locate and update individual sections
4. Technical Build,CSS Architecture,CSS variables for theme colours + typography,Easy brand colour / font changes in one file (variables.css)
4. Technical Build,Multilingual System,Language toggle stored in localStorage,Remembers user language preference across visits
4. Technical Build,Performance,No heavy frameworks — fast initial load,Lightweight page with deferred JS loading
4. Technical Build,SEO,Canonical tags + hreflang + structured data,Proper setup for multilingual SEO

5. Suggested Talking Points,Opening,30+ years of Hong Kong financial market experience,Establish credibility of the client brand
5. Suggested Talking Points,Problem Solved,Old website was hard to update — needed developer for every change,CMS empowers the marketing team to update content themselves
5. Suggested Talking Points,Key Benefit 1,No recurring hosting cost beyond a simple static host,Compare to WordPress / CMS platforms with server & plugin costs
5. Suggested Talking Points,Key Benefit 2,Update hero / announcements / news in minutes — no code needed,Live demo recommended: show CMS panel during presentation
5. Suggested Talking Points,Key Benefit 3,Enterprise-grade security: 2FA / RBAC / audit log / IP whitelist,Suitable for regulated financial institution requirements
5. Suggested Talking Points,Key Benefit 4,Trilingual content — maintain Chinese and English independently,Critical for HK financial clients serving local & global audience
5. Suggested Talking Points,Key Benefit 5,Fully responsive — works on all devices,Mobile traffic is dominant — SFC also checks mobile compliance
5. Suggested Talking Points,Key Benefit 6,SEO-ready out of the box,Structured data + hreflang helps Google ranking for HK financial searches
5. Suggested Talking Points,Handover,Full source code delivered + CMS training included,Client team can manage content immediately after handover
5. Suggested Talking Points,Next Steps,Suggested: connect to real data API / add online chat widget,Optional future enhancements for discussion
